filename,classname,alpha0,alpha1,alpha2,alpha3,alpha4,alpha5,a0,a1,a2,a3,a4,a5,d1,d2,d3,d4,d5,d6,th1,th2,th3,th4,th5,th6,parallel_234
Dobot_Nova2.py,Dobot_Nova2,0.0,1.5707963267948966,0.0,0.0,-1.5707963267948966,1.5707963267948966,0.0,0.0,280.0,225.0,0.0,0.0,223.4,0.0,0.0,117.5,120.0,88.0,0.0,1.5707963267948966,0.0,-1.5707963267948966,0.0,0.0,1
Dobot_Nova5.py,Dobot_Nova5,0.0,1.5707963267948966,0.0,0.0,-1.5707963267948966,1.5707963267948966,0.0,0.0,400.0,330.0,0.0,0.0,240.0,0.0,0.0,135.0,120.0,88.0,0.0,1.5707963267948966,0.0,-1.5707963267948966,0.0,0.0,1
Efort_GR680.py,Efort_GR680,0.0,-1.5707963267948966,0.0,0.0,-1.5707963267948966,1.5707963267948966,0.0,210.0,1000.0,1505.399,0.0,0.0,598.6,0.0,0.0,0.0,136.5,101.75,0.0,1.5707963267948966,-1.4943334522650251,-3.2180555281196646,-1.5707963267948966,0.0,1
Elephant_Robotics_myCobot_320.py,Elephant_Robotics_myCobot_320,0.0,1.5707963267948966,0.0,0.0,-1.5707963267948966,1.5707963267948966,0.0,0.0,135.0,120.0,0.0,0.0,173.9,0.0,0.0,88.78,95.0,65.5,0.0,1.5707963267948966,0.0,-1.5707963267948966,0.0,0.0,1
Elephant_Robotics_myCobot_Pro600.py,Elephant_Robotics_myCobot_Pro600,0.0,1.5707963267948966,0.0,0.0,-1.5707963267948966,1.5707963267948966,0.0,0.0,250.0,250.0,0.0,0.0,199.34,0.0,0.0,108.0,109.1,75.86,0.0,0.0,0.0,3.141592653589793,0.0,0.0,1
Elite_Robots_CS612.py,Elite_Robots_CS612,0.0,1.5707963267948966,0.0,0.0,-1.5707963267948966,1.5707963267948966,0.0,0.0,615.0,571.0,0.0,0.0,193.0,0.0,0.0,177.5,118.0,110.3,0.0,3.141592653589793,0.0,0.0,0.0,3.141592653589793,1
Elite_Robots_CS620.py,Elite_Robots_CS620,0.0,1.5707963267948966,0.0,0.0,-1.5707963267948966,1.5707963267948966,0.0,0.0,900.0,772.0,0.0,0.0,235.0,0.0,0.0,172.5,128.0,125.0,0.0,3.141592653589793,0.0,0.0,0.0,3.141592653589793,1
Elite_Robots_CS625.py,Elite_Robots_CS625,0.0,1.5707963267948966,0.0,0.0,-1.5707963267948966,1.5707963267948966,0.0,0.0,750.0,622.0,0.0,0.0,235.0,0.0,0.0,172.5,128.0,125.0,0.0,3.141592653589793,0.0,0.0,0.0,3.141592653589793,1
Elite_Robots_CS63.py,Elite_Robots_CS63,0.0,1.5707963267948966,0.0,0.0,-1.5707963267948966,1.5707963267948966,0.0,0.0,270.0,257.5,0.0,0.0,153.0,0.0,0.0,144.5,96.5,92.0,0.0,3.141592653589793,0.0,0.0,0.0,3.141592653589793,1
Elite_Robots_CS66.py,Elite_Robots_CS66,0.0,1.5707963267948966,0.0,0.0,-1.5707963267948966,1.5707963267948966,0.0,0.0,427.0,390.5,0.0,0.0,162.5,0.0,0.0,147.5,96.5,92.0,0.0,3.141592653589793,0.0,0.0,0.0,3.141592653589793,1
Elite_Robots_EC612.py,Elite_Robots_EC612,0.0,1.5707963267948966,0.0,0.0,-1.5707963267948966,1.5707963267948966,0.0,0.0,615.0,572.5,0.0,0.0,185.0,0.0,0.0,174.0,116.5,103.8,3.141592653589793,3.141592653589793,0.0,0.0,3.141592653589793,3.141592653589793,1
Elite_Robots_EC616.py,Elite_Robots_EC616,0.0,1.5707963267948966,0.0,0.0,-1.5707963267948966,1.5707963267948966,0.0,0.0,478.0,359.5,0.0,0.0,185.0,0.0,0.0,174.0,116.5,103.8,0.0,3.141592653589793,0.0,0.0,0.0,0.0,1
Elite_Robots_EC63.py,Elite_Robots_EC63,0.0,1.5707963267948966,0.0,0.0,-1.5707963267948966,1.5707963267948966,0.0,0.0,270.0,256.0,0.0,0.0,140.0,0.0,0.0,103.5,98.0,89.0,3.141592653589793,3.141592653589793,0.0,0.0,3.141592653589793,3.141592653589793,1
Elite_Robots_EC64_19.py,Elite_Robots_EC64_19,0.0,1.5707963267948966,0.0,0.0,-1.5707963267948966,1.5707963267948966,0.0,0.0,860.0,942.0,0.0,0.0,185.0,0.0,0.0,155.5,98.0,89.0,3.141592653589793,3.141592653589793,0.0,0.0,3.141592653589793,3.141592653589793,1
Elite_Robots_EC66.py,Elite_Robots_EC66,0.0,1.5707963267948966,0.0,0.0,-1.5707963267948966,1.5707963267948966,0.0,0.0,418.0,398.0,0.0,0.0,96.0,0.0,0.0,122.0,98.0,89.0,3.141592653589793,3.141592653589793,0.0,0.0,3.141592653589793,3.141592653589793,1
FAIR_Innovation_F16.py,FAIR_Innovation_F16,0.0,1.5707963267948966,0.0,0.0,-1.5707963267948966,1.5707963267948966,0.0,0.0,520.0,400.0,0.0,0.0,180.0,0.0,0.0,159.0,114.0,106.0,0.0,3.141592653589793,0.0,0.0,0.0,3.141592653589793,1
FAIR_Innovation_FR10.py,FAIR_Innovation_FR10,0.0,1.5707963267948966,0.0,0.0,-1.5707963267948966,1.5707963267948966,0.0,0.0,700.0,586.0,0.0,0.0,180.0,0.0,0.0,159.0,114.0,106.0,0.0,3.141592653589793,0.0,0.0,0.0,3.141592653589793,1
FAIR_Innovation_FR20.py,FAIR_Innovation_FR20,0.0,1.5707963267948966,0.0,0.0,-1.5707963267948966,1.5707963267948966,0.0,0.0,1000.0,716.0,0.0,0.0,215.0,0.0,0.0,166.0,138.0,120.0,0.0,3.141592653589793,0.0,0.0,0.0,3.141592653589793,1
FAIR_Innovation_FR3.py,FAIR_Innovation_FR3,0.0,1.5707963267948966,0.0,0.0,-1.5707963267948966,1.5707963267948966,0.0,0.0,280.0,240.0,0.0,0.0,140.0,0.0,0.0,102.0,102.0,100.0,0.0,3.141592653589793,0.0,0.0,0.0,3.141592653589793,1
FAIR_Innovation_FR5.py,FAIR_Innovation_FR5,0.0,1.5707963267948966,0.0,0.0,-1.5707963267948966,1.5707963267948966,0.0,0.0,425.0,395.0,0.0,0.0,152.0,0.0,0.0,102.0,102.0,100.0,0.0,3.141592653589793,0.0,0.0,0.0,3.141592653589793,1
Hanwha_HCR3.py,Hanwha_CHR3,0.0,1.5707963267948966,0.0,0.0,-1.5707963267948966,1.5707963267948966,0.0,0.0,201.0,281.5,0.0,0.0,139.6,0.0,0.0,148.6,147.5,152.0,0.0,3.141592653589793,0.0,0.0,0.0,3.141592653589793,1
Hanwha_HCR5.py,Hanwha_CHR5,0.0,1.5707963267948966,0.0,0.0,-1.5707963267948966,1.5707963267948966,0.0,0.0,425.0,338.5,0.0,0.0,149.0,0.0,0.0,170.5,151.5,132.5,0.0,3.141592653589793,0.0,0.0,0.0,3.141592653589793,1
IIMT_CA_05.py,IIMT_CA_05,0.0,1.5707963267948966,0.0,0.0,-1.5707963267948966,1.5707963267948966,0.0,0.0,402.0,376.0,0.0,0.0,131.5,0.0,0.0,120.5,120.5,101.5,0.0,3.141592653589793,0.0,0.0,0.0,0.0,1
IIMT_CR_03.py,IIMT_CR_05,0.0,1.5707963267948966,0.0,0.0,-1.5707963267948966,1.5707963267948966,0.0,0.0,264.2,237.5,0.0,0.0,101.5,0.0,0.0,107.3,101.8,94.8,0.0,3.141592653589793,0.0,0.0,0.0,0.0,1
IIMT_CR_10.py,IIMT_CR_10,0.0,1.5707963267948966,0.0,0.0,-1.5707963267948966,1.5707963267948966,0.0,0.0,641.0,601.0,0.0,0.0,128.3,0.0,0.0,159.2,120.5,88.5,0.0,3.141592653589793,0.0,0.0,0.0,0.0,1
IIMT_CR_16.py,IIMT_CR_16,0.0,1.5707963267948966,0.0,0.0,-1.5707963267948966,1.5707963267948966,0.0,0.0,510.0,420.0,0.0,0.0,128.3,0.0,0.0,159.0,120.5,88.5,0.0,3.141592653589793,0.0,0.0,0.0,0.0,1
JAKA_Pro_16.py,JAKA_Pro_16,0.0,1.5707963267948966,0.0,0.0,-1.5707963267948966,1.5707963267948966,0.0,0.0,819.0,687.0,0.0,0.0,196.5,0.0,0.0,-158.0,144.15,126.65,0.0,0.0,0.0,-3.141592653589793,0.0,3.141592653589793,1
JAKA_Zu12.py,JAKA_Zu12,0.0,1.5707963267948966,0.0,0.0,-1.5707963267948966,1.5707963267948966,0.0,0.0,595.0,571.5,0.0,0.0,142.65,0.0,0.0,-131.5,115.0,103.5,0.0,0.0,0.0,-3.141592653589793,0.0,3.141592653589793,1
JAKA_Zu18.py,JAKA_Zu18,0.0,1.5707963267948966,0.0,0.0,-1.5707963267948966,1.5707963267948966,0.0,0.0,510.0,400.0,0.0,0.0,142.65,0.0,0.0,-154.0,115.0,103.5,0.0,0.0,0.0,-3.141592653589793,0.0,3.141592653589793,1
JAKA_Zu20.py,JAKA_Zu20,0.0,1.5707963267948966,0.0,0.0,-1.5707963267948966,1.5707963267948966,0.0,0.0,897.0,744.5,0.0,0.0,196.5,0.0,0.0,-188.35,-138.5,120.5,0.0,0.0,0.0,0.0,3.141592653589793,0.0,1
JAKA_Zu3.py,JAKA_Zu3,0.0,1.5707963267948966,0.0,0.0,-1.5707963267948966,1.5707963267948966,0.0,0.0,246.0,228.0,0.0,0.0,150.55,0.0,0.0,-116.0,117.5,105.0,0.0,0.0,0.0,-3.141592653589793,0.0,3.141592653589793,1
JAKA_Zu5.py,JAKA_Zu5,0.0,1.5707963267948966,0.0,0.0,-1.5707963267948966,1.5707963267948966,0.0,0.0,430.0,368.5,0.0,0.0,120.15,0.0,0.0,-114.0,113.5,107.0,0.0,0.0,0.0,-3.141592653589793,0.0,3.141592653589793,1
JAKA_Zu7.py,JAKA_Zu7,0.0,1.5707963267948966,0.0,0.0,-1.5707963267948966,1.5707963267948966,0.0,0.0,360.0,303.5,0.0,0.0,120.15,0.0,0.0,-115.01,113.5,107.0,0.0,0.0,0.0,-3.141592653589793,0.0,3.141592653589793,1
Omron_TM12.py,Omron_TM12,0.0,1.5707963267948966,0.0,0.0,-1.5707963267948966,1.5707963267948966,0.0,0.0,636.1,557.9,0.0,0.0,165.2,0.0,0.0,156.3,106.0,113.15,0.0,1.5707963267948966,0.0,-1.5707963267948966,0.0,0.0,1
Omron_TM12X.py,Omron_TM12X,0.0,1.5707963267948966,0.0,0.0,-1.5707963267948966,1.5707963267948966,0.0,0.0,636.1,557.9,0.0,0.0,165.2,0.0,0.0,156.3,106.0,113.15,0.0,1.5707963267948966,0.0,-1.5707963267948966,0.0,0.0,1
Omron_TM14.py,Omron_TM14,0.0,1.5707963267948966,0.0,0.0,-1.5707963267948966,1.5707963267948966,0.0,0.0,536.1,457.9,0.0,0.0,165.2,0.0,0.0,156.3,106.0,113.15,0.0,1.5707963267948966,0.0,-1.5707963267948966,0.0,0.0,1
Omron_TM14X.py,Omron_TM14X,0.0,1.5707963267948966,0.0,0.0,-1.5707963267948966,1.5707963267948966,0.0,0.0,536.1,457.9,0.0,0.0,165.2,0.0,0.0,156.3,106.0,113.15,0.0,1.5707963267948966,0.0,-1.5707963267948966,0.0,0.0,1
